smiles_aromatic,smiles_kekulized,nb_atoms,sw_filter_chembl,sw_filter_zinc,nb_unknown_gcf_chembl,nb_unknown_ecfp_chembl,nb_unknown_gcf_chembl_zinc,nb_unknown_ecfp_chembl_zinc
CC=C(CSC(=N)N)C(=O)OC,CC=C(CSC(=N)N)C(=O)OC,12,1.0,1.0,0,0,0,0
NCC(=Cc1ccsc1)C(=O)O,NCC(=CC1=CSC=C1)C(=O)O,12,1.0,1.0,0,0,0,0
Cn1ccccc1=NCCO,CN1C=CC=CC1=NCCO,11,1.0,1.0,0,0,0,0
NC(N)=NC(N)=NC1CCCC1,NC(N)=NC(N)=NC1CCCC1,12,1.0,1.0,0,0,0,0
NCC(=Cc1ccoc1)C(=O)O,NCC(=CC1=COC=C1)C(=O)O,12,1.0,1.0,0,0,0,0
CC1(F)CC(N)(C(=O)O)C1,CC1(F)CC(N)(C(=O)O)C1,10,1.0,1.0,0,0,0,0
NC1CC(=O)c2cscc21,NC1CC(=O)C2=CSC=C21,10,1.0,1.0,0,0,0,0
CCN(CC)C1CCCCC1,CCN(CC)C1CCCCC1,11,1.0,1.0,0,0,0,0
CCCC(C)C(=O)OCC,CCCC(C)C(=O)OCC,10,1.0,1.0,0,0,0,0
CC=CC=O,CC=CC=O,5,1.0,1.0,0,0,0,0
CC(N)(CCCN)C(=O)O,CC(N)(CCCN)C(=O)O,10,1.0,1.0,0,0,0,0
COC(OC)OC,COC(OC)OC,7,1.0,1.0,0,0,0,0
C1CS1,C1CS1,3,1.0,1.0,0,0,0,0
CNCCCCCCCCNC,CNCCCCCCCCNC,12,1.0,1.0,0,0,0,0
CC(C)C(=O)c1ccccc1,CC(C)C(=O)C1=CC=CC=C1,11,1.0,1.0,0,0,0,0
COc1cc(C)cc(O)c1,COC1=CC(C)=CC(O)=C1,10,1.0,1.0,0,0,0,0
Cc1ccc2c(c1)CNC(N)=N2,CC1=CC=C2N=C(N)NCC2=C1,12,1.0,1.0,0,0,0,0
Nc1cccc2c(O)cccc12,NC1=CC=CC2=C(O)C=CC=C12,12,1.0,1.0,0,0,0,0
c1cncc(NC2=NCCN2)c1,C1=CN=CC(NC2=NCCN2)=C1,12,1.0,1.0,0,0,0,0
